service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
11967,0,0,0,0,0,1,1,20180602,20190501
11966,1,1,1,1,1,0,0,20180528,20190501
10132,0,0,0,0,0,1,1,20170623,20190501
9234,1,1,1,1,1,0,0,20170123,20190501
11805,0,0,0,0,0,1,1,20180519,20190501
11806,0,0,0,0,0,1,1,20180519,20190501
11818,1,1,1,1,1,0,0,20180305,20190501
11820,1,1,1,1,1,0,0,20180305,20190501
11825,0,0,0,0,0,1,1,20180519,20190501
7662,1,1,1,1,1,0,0,20150901,20190501
7729,0,0,0,0,0,1,1,20150905,20190501
7726,1,1,1,1,1,0,0,20150901,20190501
7727,1,1,1,1,1,0,0,20150901,20190501
7663,1,1,1,1,1,0,0,20150901,20190501
8096,0,0,0,0,0,1,1,20160206,20190501
8088,1,1,1,1,1,0,0,20160201,20190501
11423,0,0,0,0,0,1,1,20180303,20190501
9248,1,1,1,1,1,0,0,20151214,20190501
7678,0,0,0,0,0,1,1,20150905,20190501
7664,1,1,1,1,1,0,0,20150901,20190501
9744,1,1,1,1,1,0,0,20150810,20190501
7519,0,0,0,0,0,1,1,20150808,20190501
10661,1,1,1,1,1,0,0,20170901,20190501
10662,1,1,1,1,1,0,0,20170901,20190501
11900,0,0,0,0,0,1,1,20150606,20190501
8089,1,1,1,1,1,0,0,20160201,20190501
7705,0,0,0,0,0,1,1,20150905,20190501
9924,1,1,1,1,1,0,0,20170522,20190501
7526,0,0,0,0,0,1,1,20150808,20190501
7109,0,0,0,0,0,1,1,20150606,20190501
8084,0,0,0,0,0,1,1,20160206,20190501
8072,1,1,1,1,1,0,0,20160201,20190501
10133,0,0,0,0,0,1,1,20170623,20190501
9235,1,1,1,1,1,0,0,20170123,20190501
11801,0,0,0,0,0,1,1,20180519,20190501
7689,1,1,1,1,1,0,0,20150901,20190501
11266,0,0,0,0,0,1,1,20180127,20190501
11265,1,1,1,1,1,0,0,20180126,20190501
10659,0,0,0,0,0,1,1,20170902,20190501
10657,1,1,1,1,1,0,0,20170901,20190501
11819,1,1,1,1,1,0,0,20180521,20190501
11807,0,0,0,0,0,1,1,20180519,20190501
11808,0,0,0,0,0,1,1,20180519,20190501
7835,1,1,1,1,1,0,0,20151012,20190501
7836,0,0,0,0,0,1,1,20151011,20190501
7681,0,0,0,0,0,1,1,20150905,20190501
7668,1,1,1,1,1,0,0,20150901,20190501
7682,0,0,0,0,0,1,1,20150905,20190501
7669,1,1,1,1,1,0,0,20150901,20190501
10663,1,1,1,1,1,0,0,20170901,20190501
7889,0,0,0,0,0,1,1,20151101,20190501
7890,0,0,0,0,0,1,1,20151101,20190501
8091,1,1,1,1,1,0,0,20160201,20190501
8000,0,0,0,0,0,1,1,20151224,20190501
10664,1,1,1,1,1,0,0,20170901,20190501
7536,1,1,1,1,1,0,0,20150810,20190501
7529,0,0,0,0,0,1,1,20150808,20190501
11791,0,0,0,0,0,1,1,20180519,20190501
9745,1,1,1,1,1,0,0,20170508,20190501
11802,0,0,0,0,0,1,1,20180519,20190501
9901,1,1,1,1,1,0,0,20150901,20190501
7730,0,0,0,0,0,1,1,20150905,20190501
11617,1,1,1,1,1,0,0,20180502,20190501
11618,1,1,1,1,1,0,0,20180502,20190501
9253,1,1,1,1,1,0,0,20150901,20190501
11792,1,1,1,1,1,0,0,20180521,20190501
11826,0,0,0,0,0,1,1,20180519,20190501
10655,1,1,1,1,1,0,0,20170901,20190501
7721,0,0,0,0,0,1,1,20150606,20190501
7713,0,0,0,0,0,1,1,20150905,20190501
7697,1,1,1,1,1,0,0,20150901,20190501
7714,0,0,0,0,0,1,1,20150905,20190501
7698,1,1,1,1,1,0,0,20150901,20190501
10134,0,0,0,0,0,1,1,20170623,20190501
9425,1,1,1,1,1,0,0,20170123,20190501
10656,1,1,1,1,1,0,0,20170901,20190501
7723,0,0,0,0,0,1,1,20150606,20190501
7731,0,0,0,0,0,1,1,20150905,20190501
7728,1,1,1,1,1,0,0,20150901,20190501
7516,1,1,1,1,1,0,0,20150810,20190501
7521,0,0,0,0,0,1,1,20150808,20190501
7517,1,1,1,1,1,0,0,20150810,20190501
7522,0,0,0,0,0,1,1,20150808,20190501
8092,1,1,1,1,1,0,0,20160201,20190501
11675,1,1,1,1,1,0,0,20180502,20190501
11676,0,0,0,0,0,1,1,20160206,20190501
11824,1,1,1,1,1,0,0,20170508,20190501
11823,1,1,1,1,1,0,0,20170508,20190501
8099,0,0,0,0,0,1,1,20160206,20190501
8094,1,1,1,1,1,0,0,20160201,20190501
10135,0,0,0,0,0,1,1,20170623,20190501
11822,1,1,1,1,1,0,0,20150901,20190501
10136,0,0,0,0,0,1,1,20170623,20190501
7518,1,1,1,1,1,0,0,20150810,20190501
7523,0,0,0,0,0,1,1,20150808,20190501
8937,0,0,0,0,0,1,1,20150905,20190501
7694,1,1,1,1,1,0,0,20150901,20190501
8095,1,1,1,1,1,0,0,20160201,20190501
7719,0,0,0,0,0,1,1,20150905,20190501
10752,1,1,1,1,1,0,0,20170925,20190501
7115,0,0,0,0,0,1,1,20150606,20190501
11451,0,0,0,0,0,1,1,20180310,20190501
11155,1,1,1,1,1,0,0,20180305,20190501
11799,1,1,1,1,1,0,0,20180521,20190501
11800,0,0,0,0,0,1,1,20180519,20190501
11445,0,0,0,0,0,1,1,20180310,20190501
11444,1,1,1,1,1,0,0,20180305,20190501
8467,1,1,1,1,1,0,0,20160701,20190501
11558,0,0,0,0,0,1,1,20180501,20190501
11474,1,1,1,1,1,0,0,20180305,20190501
11475,0,0,0,0,0,1,1,20180303,20190501
9262,0,0,0,0,0,1,1,20150704,20190501
9261,1,1,1,1,1,0,0,20150701,20190501
11467,1,1,1,1,1,0,0,20170605,20190501
11965,0,0,0,0,0,1,1,20180602,20190501
11964,1,1,1,1,1,0,0,20180528,20190501
10097,1,1,1,1,1,0,0,20170626,20190501
9312,0,0,0,0,0,1,1,20170623,20190501
10095,1,1,1,1,1,0,0,20150302,20190501
9304,0,0,0,0,0,1,1,20170610,20190501
10669,1,1,1,1,1,0,0,20170605,20190501
11509,0,0,0,0,0,1,1,20180519,20190501
9698,1,1,1,1,1,0,0,20170605,20190501
9706,1,1,1,1,1,0,0,20150810,20190501
9715,0,0,0,0,0,1,1,20150808,20190501
10645,1,1,1,1,1,0,0,20170703,20190501
7629,0,0,0,0,0,1,1,20150704,20190501
8063,0,0,0,0,0,1,1,20160206,20190501
8051,1,1,1,1,1,0,0,20160201,20190501
9285,1,1,1,1,1,0,0,20150810,20190501
9291,0,0,0,0,0,1,1,20150808,20190501
11496,1,1,1,1,1,0,0,20160903,20190501
11497,0,0,0,0,0,1,1,20160901,20190501
11665,0,0,0,0,0,1,1,20180602,20190501
9718,1,1,1,1,1,0,0,20160201,20190501
9709,1,1,1,1,1,0,0,20150905,20190501
9720,0,0,0,0,0,1,1,20150901,20190501
9296,0,0,0,0,0,1,1,20160319,20190501
9295,1,1,1,1,1,0,0,20160314,20190501
11666,0,0,0,0,0,1,1,20180602,20190501
10425,1,1,1,1,1,0,0,20170901,20190501
11502,1,1,1,1,1,0,0,20160604,20190501
11667,0,0,0,0,0,1,1,20160601,20190501
11669,0,0,0,0,0,1,1,20180602,20190501
10447,1,1,1,1,1,0,0,20150901,20190501
9299,0,0,0,0,0,1,1,20160206,20190501
9298,1,1,1,1,1,0,0,20160201,20190501
11371,1,1,1,1,1,0,0,20180305,20190501
11302,0,0,0,0,0,1,1,20180303,20190501
11668,0,0,0,0,0,1,1,20180602,20190501
11504,1,1,1,1,1,0,0,20170901,20190501
9274,0,0,0,0,0,1,1,20160206,20190501
10448,1,1,1,1,1,0,0,20160201,20190501
11670,0,0,0,0,0,1,1,20180602,20190501
9292,1,1,1,1,1,0,0,20160201,20190501
9286,1,1,1,1,1,0,0,20160701,20190501
7471,0,0,0,0,0,1,1,20150808,20190501
940543,0,0,0,0,0,1,0,20170701,20190501
940544,0,0,0,0,0,0,1,20170623,20190501
940294,1,1,1,1,1,0,0,20170619,20190501
954525,1,1,1,1,1,0,0,20170220,20190501
945155,0,0,0,0,0,1,0,20170701,20190501
945154,1,1,1,1,1,0,0,20170626,20190501
945156,0,0,0,0,0,0,1,20170623,20190501
944861,1,1,1,1,1,0,0,20170626,20190501
944733,0,0,0,0,0,1,1,20170623,20190501
955904,0,0,0,0,0,1,1,20180303,20190501
947768,1,1,1,1,1,0,0,20180102,20190501
960544,0,0,0,0,0,0,1,20180513,20190501
960541,0,0,0,0,0,1,0,20180512,20190501
960246,1,1,1,1,1,0,0,20180507,20190501
945211,0,0,0,0,0,1,0,20170701,20190501
945212,0,0,0,0,0,0,1,20170623,20190501
940398,1,1,1,1,1,0,0,20170515,20190501
950198,1,1,1,1,1,0,0,20171003,20190501
938660,0,0,0,0,0,1,0,20170121,20190501
957530,0,0,0,0,0,1,1,20180303,20190501
950200,1,1,1,1,1,0,0,20180102,20190501
940432,1,1,1,1,1,0,0,20170619,20190501
940952,1,1,1,1,1,0,0,20170220,20190501
940953,1,1,1,1,1,0,0,20170220,20190501
948943,0,0,0,0,0,1,1,20170902,20190501
951182,0,0,0,0,0,1,1,20180303,20190501
939767,1,1,1,1,1,0,0,20170210,20190501
945262,1,1,1,1,1,0,0,20170626,20190501
960543,0,0,0,0,0,0,1,20180513,20190501
960542,0,0,0,0,0,1,0,20180512,20190501
960403,1,1,1,1,1,0,0,20180507,20190501
960945,0,0,0,0,0,0,1,20180513,20190501
960944,0,0,0,0,0,1,0,20180512,20190501
960943,1,1,1,1,1,0,0,20180507,20190501
960999,0,0,0,0,0,1,1,20180512,20190501
960998,1,1,1,1,1,0,0,20180507,20190501
961002,0,0,0,0,0,0,1,20180513,20190501
961001,0,0,0,0,0,1,0,20180512,20190501
961000,1,1,1,1,1,0,0,20180507,20190501
961004,0,0,0,0,0,1,1,20180512,20190501
961003,1,1,1,1,1,0,0,20180507,20190501
961007,0,0,0,0,0,0,1,20180513,20190501
961006,0,0,0,0,0,1,0,20180512,20190501
961005,1,1,1,1,1,0,0,20180507,20190501
